id,left,top,right,bottom,row_index,col_index,최종_레이블_결과(2)_행정동,최종_레이블_결과(2)_클러스터링,최종_레이블_결과(2)_유동인구,최종_레이블_결과(2)_견인횟수,최종_레이블_결과(2)_유동인구_레이블,최종_레이블_결과(2)_견인횟수_레이블,최종_레이블_결과(2)_유동인구+견인횟수
2059,963906.480153623968363,1952184.899299999931827,964021.950207461952232,1952084.899299999931827,6,36,,,,,,,
2292,964252.890315137687139,1951684.899299999931827,964368.360368975787424,1951584.899299999931827,11,40,,,,,,,
2293,964252.890315137687139,1951584.899299999931827,964368.360368975787424,1951484.899299999931827,12,40,,,,,,,
2294,964252.890315137687139,1951484.899299999931827,964368.360368975787424,1951384.899299999931827,13,40,,,,,,,
2295,964252.890315137687139,1951384.899299999931827,964368.360368975787424,1951284.899299999931827,14,40,,,,,,,
2288,964252.890315137687139,1952084.899299999931827,964368.360368975787424,1951984.899299999931827,7,40,,,,,,,
2289,964252.890315137687139,1951984.899299999931827,964368.360368975787424,1951884.899299999931827,8,40,,,,,,,
2290,964252.890315137687139,1951884.899299999931827,964368.360368975787424,1951784.899299999931827,9,40,,,,,,,
2291,964252.890315137687139,1951784.899299999931827,964368.360368975787424,1951684.899299999931827,10,40,,,,,,,
2300,964252.890315137687139,1950884.899299999931827,964368.360368975787424,1950784.899299999931827,19,40,,,,,,,
2301,964252.890315137687139,1950784.899299999931827,964368.360368975787424,1950684.899299999931827,20,40,,,,,,,
2302,964252.890315137687139,1950684.899299999931827,964368.360368975787424,1950584.899299999931827,21,40,,,,,,,
2303,964252.890315137687139,1950584.899299999931827,964368.360368975787424,1950484.899299999931827,22,40,,,,,,,
2296,964252.890315137687139,1951284.899299999931827,964368.360368975787424,1951184.899299999931827,15,40,,,,,,,
2297,964252.890315137687139,1951184.899299999931827,964368.360368975787424,1951084.899299999931827,16,40,,,,,,,
2298,964252.890315137687139,1951084.899299999931827,964368.360368975787424,1950984.899299999931827,17,40,,,,,,,
2299,964252.890315137687139,1950984.899299999931827,964368.360368975787424,1950884.899299999931827,18,40,,,,,,,
2284,964252.890315137687139,1952484.899299999931827,964368.360368975787424,1952384.899299999931827,3,40,,,,,,,
2285,964252.890315137687139,1952384.899299999931827,964368.360368975787424,1952284.899299999931827,4,40,,,,,,,
2286,964252.890315137687139,1952284.899299999931827,964368.360368975787424,1952184.899299999931827,5,40,,,,,,,
2287,964252.890315137687139,1952184.899299999931827,964368.360368975787424,1952084.899299999931827,6,40,,,,,,,
2283,964252.890315137687139,1952584.899299999931827,964368.360368975787424,1952484.899299999931827,2,40,,,,,,,
2260,964166.287774759344757,1949134.899299999698997,964281.757828597328626,1949034.899299999931827,36,39,구의3동,0,0,25,1,0,2
2261,964166.287774759344757,1949034.899299999931827,964281.757828597328626,1948934.899299999698997,37,39,구의3동,0,0,0,1,0,2
2262,964166.287774759344757,1948934.899299999698997,964281.757828597328626,1948834.899299999931827,38,39,구의3동,0,0,0,1,0,2
2263,964166.287774759344757,1948834.899299999931827,964281.757828597328626,1948734.899299999698997,39,39,구의3동,0,0,0,1,0,2
2256,964166.287774759344757,1949534.899299999698997,964281.757828597328626,1949434.899299999931827,32,39,광장동,0,0,0,1,1,4
2257,964166.287774759344757,1949434.899299999931827,964281.757828597328626,1949334.899299999698997,33,39,광장동,0,0,0,1,1,4
2258,964166.287774759344757,1949334.899299999698997,964281.757828597328626,1949234.899299999931827,34,39,광장동,0,94.9722222222222,2,1,1,4
2259,964166.287774759344757,1949234.899299999931827,964281.757828597328626,1949134.899299999698997,35,39,광장동,0,0,11,1,1,4
2268,964166.287774759344757,1948334.899299999698997,964281.757828597328626,1948234.899299999931827,44,39,구의3동,1,0,0,0,2,6
2269,964166.287774759344757,1948234.899299999931827,964281.757828597328626,1948134.899299999698997,45,39,구의3동,1,0,0,0,2,6
2270,964166.287774759344757,1948134.899299999698997,964281.757828597328626,1948034.899299999931827,46,39,구의3동,1,0,0,0,2,6
2271,964166.287774759344757,1948034.899299999931827,964281.757828597328626,1947934.899299999698997,47,39,구의3동,1,0,0,0,2,6
2264,964166.287774759344757,1948734.899299999698997,964281.757828597328626,1948634.899299999931827,40,39,구의3동,0,2294.08333333333,10,1,0,2
2265,964166.287774759344757,1948634.899299999931827,964281.757828597328626,1948534.899299999698997,41,39,구의3동,0,0,26,1,0,2
2266,964166.287774759344757,1948534.899299999698997,964281.757828597328626,1948434.899299999931827,42,39,구의3동,1,60830.0769230769,0,0,2,6
2267,964166.287774759344757,1948434.899299999931827,964281.757828597328626,1948334.899299999698997,43,39,구의3동,1,0,0,0,2,6
2244,964166.287774759344757,1950734.899299999698997,964281.757828597328626,1950634.899299999931827,20,39,,,,,,,
2245,964166.287774759344757,1950634.899299999931827,964281.757828597328626,1950534.899299999698997,21,39,,,,,,,
2246,964166.287774759344757,1950534.899299999698997,964281.757828597328626,1950434.899299999931827,22,39,,,,,,,
2247,964166.287774759344757,1950434.899299999931827,964281.757828597328626,1950334.899299999698997,23,39,,,,,,,
2240,964166.287774759344757,1951134.899299999698997,964281.757828597328626,1951034.899299999931827,16,39,,,,,,,
2241,964166.287774759344757,1951034.899299999931827,964281.757828597328626,1950934.899299999698997,17,39,,,,,,,
2242,964166.287774759344757,1950934.899299999698997,964281.757828597328626,1950834.899299999931827,18,39,,,,,,,
2243,964166.287774759344757,1950834.899299999931827,964281.757828597328626,1950734.899299999698997,19,39,,,,,,,
2252,964166.287774759344757,1949934.899299999698997,964281.757828597328626,1949834.899299999931827,28,39,구의2동,0,0,0,1,1,4
2253,964166.287774759344757,1949834.899299999931827,964281.757828597328626,1949734.899299999698997,29,39,구의2동,0,0,0,1,1,4
2254,964166.287774759344757,1949734.899299999698997,964281.757828597328626,1949634.899299999931827,30,39,구의2동,0,0,0,1,1,4
2255,964166.287774759344757,1949634.899299999931827,964281.757828597328626,1949534.899299999698997,31,39,광장동,0,0,0,1,1,4
2248,964166.287774759344757,1950334.899299999698997,964281.757828597328626,1950234.899299999931827,24,39,구의2동,0,0,0,1,1,4
2249,964166.287774759344757,1950234.899299999931827,964281.757828597328626,1950134.899299999698997,25,39,구의2동,0,0,0,1,1,4
2250,964166.287774759344757,1950134.899299999698997,964281.757828597328626,1950034.899299999931827,26,39,구의2동,0,0,0,1,1,4
2251,964166.287774759344757,1950034.899299999931827,964281.757828597328626,1949934.899299999698997,27,39,구의2동,0,0,0,1,1,4
2228,964166.287774759344757,1952334.899299999698997,964281.757828597328626,1952234.899299999931827,4,39,,,,,,,
2229,964166.287774759344757,1952234.899299999931827,964281.757828597328626,1952134.899299999698997,5,39,,,,,,,
2230,964166.287774759344757,1952134.899299999698997,964281.757828597328626,1952034.899299999931827,6,39,,,,,,,
